,STAID,STANAME,CLASS,STATE,COMID,distance,DRAIN_SQKM,flowline_drainage_area,area_difference_pct,match_quality,quality_rank
1990,02398300,CHATTOOGA RIVER ABOVE GAYLESVILLE AL,Non-ref,AL,73011699,0.0003560989750018114,946.8069,1032.316548842399,9.031371533350567,excellent,0
2551,01529500,COHOCTON RIVER NEAR CAMPBELL NY,Non-ref,NY,73003191,6.939310252207905e-05,1222.193,1111.7561187608658,9.035960870266333,excellent,0
578,13297355,SQUAW CREEK BL BRUNO CREEK NR CLAYTON ID,Non-ref,ID,78022824,0.0005892509369527043,185.6556,202.48806735895383,9.066501284611848,excellent,0
2623,01637500,"CATOCTIN CREEK NEAR MIDDLETOWN, MD",Non-ref,MD,73006648,0.0004999966666616729,174.2859,190.09529553468658,9.070954985277975,excellent,0
2253,02193340,"KETTLE CREEK NEAR WASHINGTON, GA",Ref,GA,73012886,0.0007051833333591162,87.8733,95.85820649552662,9.086840366216604,excellent,0
567,12342500,West Fork Bitterroot River nr Conner MT,Non-ref,MT,78020300,0.00019166666665171303,820.0926,894.6813739542515,9.095164857511403,excellent,0
2014,02361000,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",Ref,AL,73018086,0.00038410333335647806,1781.611,1944.0326224888056,9.116559253889065,excellent,0
698,10171000,"JORDAN RIVER @ 1700 SOUTH @ SALT LAKE CITY, UT",Non-ref,UT,77006306,6.30533333492167e-05,9095.535,8266.06348141222,9.119546223369813,excellent,0
2312,01544000,"First Fork Sinnemahoning Cr near Sinnemahoning, PA",Non-ref,PA,73003559,6.383333334269992e-05,635.0229,693.2556370159891,9.170179062202177,excellent,0
1578,04062500,"MICHIGAMME RIVER NEAR CRYSTAL FALLS, MI",Non-ref,MI,72046134,0.0007714700896799297,1673.412,1827.172439395389,9.188438913751595,excellent,0
2108,02334885,"SUWANEE CREEK AT SUWANEE, GA",Non-ref,GA,73012450,0.00017680999996372293,122.0977,133.3268060724346,9.196820310648443,excellent,0
2118,02344350,"FLINT RIVER NEAR LOVEJOY, GA",Non-ref,GA,73014872,0.00039283552933207515,330.1573,360.52167108081863,9.196940694880475,excellent,0
0,14190500,"LUCKIAMUTE RIVER NEAR SUVER, OR",Non-ref,OR,78022248,0.0006752699999950097,603.4942,659.0194570316622,9.200628114017045,excellent,0
3116,01096000,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",Non-ref,MA,73002284,8.943333334343607e-05,173.1357,189.09181538209918,9.215959147708514,excellent,0
2236,02152100,"FIRST BROAD RIVER NEAR CASAR, NC",Ref,NC,73009768,0.00019642012168632434,154.9944,169.2957295131245,9.226997564508459,excellent,0
3114,01094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",Non-ref,MA,73002178,0.00020473333333370647,166.1607,181.50745869254268,9.23609415014663,excellent,0
7,14153500,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",Non-ref,OR,78024815,0.00020058999999150728,274.9752,300.47998163381874,9.275302512306116,excellent,0
1980,02385800,"HOLLY CREEK NEAR CHATSWORTH, GA",Non-ref,GA,73014114,2.3570027017926117e-09,165.6684,181.109393624702,9.320421773073202,excellent,0
1484,05399500,"BIG EAU PLEINE RIVER AT STRATFORD, WI",Ref,WI,74011273,0.0004609888379020871,576.3033,630.1351629386244,9.340890975051563,excellent,0
3091,04280000,"POULTNEY RIVER BELOW FAIR HAVEN, VT",Non-ref,VT,72055853,6.575333331682032e-05,487.5885,442.0188222196277,9.345929565683425,excellent,0
198,14158850,"MCKENZIE R BLW TRAIL BR DAM NR BELKNAP SPRINGS, OR",Non-ref,OR,78022343,0.00015262428468106707,480.1356,525.119643226548,9.369028921527159,excellent,0
927,09064500,"HOMESTAKE CREEK NEAR RED CLIFF, CO.",Non-ref,CO,77009153,0.0003827191883129029,151.2828,165.46300312854174,9.373308220459784,excellent,0
2746,01350140,MINE KILL NEAR NORTH BLENHEIM NY,Ref,NY,73005032,0.00019849666667681734,43.7598,47.870290179276324,9.393302024406706,excellent,0
1139,06803520,"STEVENS CREEK NR. LINCOLN, NEBR.",Non-ref,NE,74035033,0.0005981133419433073,123.0615,134.6367809247953,9.406094452607269,excellent,0
14,14170000,"LONG TOM RIVER AT MONROE, OR",Non-ref,OR,78021751,0.0006525366666778609,1021.562,925.4447991310308,9.408846537847849,excellent,0
